Source,Target,Distance
44,827,games
64,504,fashion
69,1162,clothing
35,868,electronics
36,2161,computers
72,1264,computers
106,1925,computers
13,1072,hardware
141,1477,fashion
51,1485,sports
64,2009,clothing
54,1042,sports
84,2218,fashion
35,1226,sports
35,740,computers
9,21,electronics
75,1771,computers
97,1522,fashion
59,2355,computers
35,2243,computers
27,2384,sports
77,595,games
54,1234,hardware
54,2379,computers
75,65,computers
22,233,sports
22,233,computers
35,868,games
22,157,clothing
25,2216,clothing
90,1639,computers
57,2285,sports
97,819,movies
84,244,fashion
104,2209,computers
71,113,fashion
51,1485,hardware
84,2218,movies
84,244,games
141,1477,movies
64,1588,games
11,222,fashion
72,1370,fashion
63,212,computers
8,1241,hardware
51,1049,sports
59,2029,electronics
77,595,computers
54,2379,fashion
66,1360,electronics
57,1320,computers
13,1555,fashion
27,820,games
130,1146,games
97,1640,computers
94,239,movies
25,357,games
35,279,hardware
8,1241,hardware
22,76,computers
9,1652,sports
36,2161,hardware
9,371,fashion
75,1525,hardware
75,253,movies
22,76,hardware
72,1370,sports
63,585,computers
53,1740,movies
9,1027,movies
18,121,movies
18,374,electronics
51,2030,hardware
9,1143,computers
13,2208,movies
54,178,movies
57,2221,computers
74,367,clothing
18,1658,electronics
103,1759,sports
18,1205,sports
51,1318,games
130,2182,movies
9,1143,hardware
126,1803,clothing
25,1807,games
106,1925,clothing
9,1091,sports
72,455,clothing
18,121,computers
93,956,hardware
93,417,clothing
25,643,clothing
9,21,automotive
9,21,hardware
54,1436,computers
8,464,sports
99,1804,automotive
20,355,hardware
142,971,fashion
109,2293,games
44,935,clothing
97,1522,computers
97,1756,games
20,1801,automotive
57,2221,sports
103,2142,movies
77,1989,automotive
8,2383,clothing
130,1445,hardware
78,790,clothing
127,1734,electronics
36,445,games
111,855,fashion
78,790,hardware
22,90,electronics
22,233,movies
27,221,movies
99,2368,movies
78,1821,games
25,1807,fashion
32,1815,clothing
32,2336,computers
27,1935,games
35,2146,clothing
18,1874,movies
64,504,computers
111,855,clothing
93,2177,automotive
86,1732,automotive
63,462,games
64,1157,games
74,2132,games
20,1145,movies
64,1997,games
72,1370,clothing
78,1821,hardware
94,1206,fashion
111,855,sports
109,1019,computers
84,2218,movies
108,375,clothing
13,1072,games
18,121,clothing
35,279,sports
18,1958,clothing
94,1535,movies
122,1730,computers
9,1027,movies
141,1477,computers
77,595,games
22,844,games
51,810,movies
93,2230,games
122,1730,sports
75,65,hardware
59,931,fashion
11,1155,computers
53,1687,computers
66,1315,games
53,1538,computers
8,1241,hardware
97,412,computers
11,1260,sports
64,846,fashion
64,2084,computers
127,1051,games
99,97,automotive
74,367,computers
99,97,computers
27,820,games
13,1555,computers
18,970,sports
85,864,sports
93,2177,clothing
64,564,games
35,2199,games
95,436,fashion
35,868,movies
85,2359,games
64,1588,electronics
64,68,computers
66,736,fashion
99,2212,electronics
22,844,computers
64,708,clothing
103,2142,sports
104,754,electronics
63,1690,sports
129,1527,sports
94,896,sports
53,1863,games
53,1538,hardware
111,1016,fashion
13,271,movies
90,1972,automotive
132,66,fashion
18,121,fashion
27,382,sports
97,9,sports
124,168,fashion
59,931,computers
64,1157,electronics
22,1782,clothing
53,1059,fashion
54,2379,sports
110,1657,clothing
97,1609,computers
59,2355,fashion
9,371,games
66,1315,games
74,2132,hardware
97,1103,clothing
75,358,electronics
66,736,automotive
77,751,computers
100,1793,games
75,358,clothing
25,357,movies
27,820,hardware
77,1989,computers
82,1214,movies
84,1945,clothing
85,864,computers
99,2278,clothing
77,751,computers
127,1051,sports
97,819,fashion
35,2199,movies
75,1525,movies
18,970,movies
51,448,games
51,1485,games
13,2208,hardware
53,1740,movies
129,1527,games
57,306,games
94,352,games
11,2222,fashion
111,1016,computers
100,1793,games
111,855,computers
35,2127,games
9,21,hardware
18,1658,electronics
9,1277,games
9,1143,hardware
122,1730,games
117,973,movies
90,1639,clothing
97,1103,games
93,956,computers
22,1022,fashion
27,1935,fashion
22,157,games
85,309,games
93,2230,games
63,585,clothing
121,1915,sports
77,2248,fashion
18,1874,sports
36,1001,hardware
97,1640,clothing
72,1201,computers
57,306,hardware
11,222,fashion
99,2032,games
22,157,sports
100,2306,sports
75,358,movies
93,956,clothing
90,1639,fashion
36,1001,clothing
77,1457,games
63,212,hardware
130,2182,sports
27,820,automotive
9,1091,movies
9,1091,electronics
64,1017,clothing
64,1017,clothing
109,1019,games
77,595,movies
27,382,electronics
77,1304,movies
35,2127,games
142,971,automotive
97,819,games
74,2132,sports
9,1143,hardware
64,2084,computers
100,2092,games
97,649,movies
122,1809,clothing
127,150,computers
74,2132,fashion
51,1049,movies
8,1889,clothing
54,165,fashion
53,1059,games
110,1657,movies
20,1801,clothing
66,1721,movies
35,400,computers
77,2248,movies
2,261,movies
66,1315,games
71,1093,games
54,1163,games
142,971,computers
115,679,hardware
9,1091,computers
13,271,clothing
20,1145,hardware
64,68,games
22,415,sports
27,820,clothing
53,1059,clothing
18,1064,hardware
53,1863,clothing
61,511,clothing
74,62,movies
66,1315,hardware
27,2384,games
82,365,movies
85,84,games
66,426,hardware
93,956,hardware
25,643,automotive
127,150,computers
35,2243,movies
82,365,games
22,208,sports
2,624,games
103,1759,games
35,1226,electronics
35,2127,sports
36,127,fashion
77,1457,movies
61,1471,clothing
99,277,computers
54,1234,sports
99,97,computers
9,430,movies
18,970,fashion
27,1065,movies
99,2212,clothing
54,165,sports
66,736,automotive
36,445,sports
117,1249,games
44,935,automotive
121,1946,hardware
63,1690,computers
69,1162,clothing
104,754,automotive
66,12,fashion
64,708,computers
22,76,clothing
70,1516,hardware
32,1815,electronics
25,643,automotive
116,498,games
93,956,fashion
18,1064,clothing
28,1465,games
116,498,fashion
64,1588,hardware
18,121,hardware
64,1544,electronics
94,1966,fashion
93,417,electronics
44,935,games
103,2142,fashion
115,1000,movies
99,2368,hardware
111,1016,clothing
123,1634,computers
109,2293,games
36,127,hardware
119,2356,sports
27,611,fashion
64,708,hardware
85,1387,movies
20,1384,clothing
121,1915,hardware
18,1958,hardware
97,1522,electronics
119,2356,clothing
53,767,hardware
20,1801,fashion
11,390,computers
114,2128,computers
54,165,sports
132,66,computers
110,1657,computers
27,1329,clothing
18,121,hardware
27,2384,clothing
86,1732,computers
51,810,sports
53,769,hardware
93,2230,games
54,1163,fashion
27,471,movies
66,426,clothing
66,473,sports
11,222,electronics
141,1477,sports
122,1730,clothing
121,1946,computers
54,178,electronics
13,1555,sports
74,62,computers
97,9,games
39,1880,clothing
18,970,movies
54,165,sports
57,2221,electronics
110,1719,hardware
111,855,fashion
35,740,sports
51,2030,hardware
18,1064,games
97,9,movies
66,1721,computers
64,1367,hardware
141,1477,computers
27,382,sports
75,1771,electronics
13,1623,movies
70,1516,electronics
94,1206,clothing
22,157,automotive
64,1997,movies
22,1022,movies
25,1807,fashion
9,430,clothing
97,1756,clothing
27,471,movies
54,1436,automotive
59,2029,fashion
85,864,clothing
51,1485,computers
71,113,movies
63,83,sports
54,165,computers
121,1837,fashion
77,595,electronics
28,1465,electronics
93,417,computers
9,430,sports
9,1300,games
72,1307,computers
66,1315,clothing
97,1640,games
133,1097,automotive
75,253,sports
66,473,computers
95,436,clothing
18,1958,games
20,355,fashion
51,1485,movies
122,1809,computers
78,1821,hardware
8,1241,sports
117,1249,games
97,1640,automotive
20,1801,games
8,464,movies
72,1307,clothing
64,1567,automotive
85,1387,games
63,1690,clothing
64,68,electronics
27,820,fashion
97,1756,sports
77,2248,computers
11,2222,electronics
61,1471,games
22,1782,games
74,2132,games
57,2285,sports
51,2030,sports
75,1771,electronics
75,1771,clothing
39,1880,clothing
127,150,computers
90,1972,games
75,253,computers
130,397,sports
99,1,sports
63,212,fashion
35,2199,sports
35,740,computers
57,2221,hardware
32,2336,computers
63,83,hardware
136,2343,computers
72,1307,computers
22,844,games
71,1093,movies
77,1989,sports
100,2306,computers
8,1889,hardware
99,277,movies
64,1567,games
97,1640,computers
44,1926,games
74,2132,games
53,1863,electronics
44,827,games
20,1806,sports
75,1525,electronics
9,1143,hardware
66,473,sports
2,1450,movies
112,1563,movies
72,1307,movies
59,439,sports
99,1804,hardware
72,1307,fashion
99,1804,computers
25,1807,fashion
118,38,sports
13,1072,computers
84,1404,computers
20,1801,electronics
44,935,sports
111,2081,computers
27,2384,movies
54,770,games
9,1143,clothing
93,417,sports
57,1320,fashion
64,846,games
63,212,hardware
59,2355,computers
94,239,games
63,590,computers
123,1634,sports
61,1085,sports
20,355,sports
97,1522,games
66,473,games
59,867,clothing
63,83,computers
130,2182,fashion
20,1806,computers
133,1097,clothing
93,508,computers
97,412,clothing
61,1471,clothing
99,1804,hardware
122,1730,clothing
9,1091,clothing
84,997,electronics
54,2379,hardware
82,1546,computers
63,462,electronics
54,243,movies
110,1719,games
90,1972,fashion
35,861,movies
141,1477,sports
35,2229,clothing
11,390,fashion
20,1806,computers
99,97,clothing
71,1697,hardware
132,66,electronics
64,1544,clothing
18,1064,electronics
20,1801,games
106,1925,automotive
94,1966,computers
13,2208,sports
94,896,fashion
27,382,hardware
54,770,hardware
72,1370,computers
75,358,movies
115,1000,games
133,1097,games
51,2030,hardware
84,2218,hardware
104,754,fashion
128,1090,computers
72,717,computers
123,1634,clothing
77,1457,clothing
84,2244,movies
99,1804,sports
51,810,movies
66,12,computers
63,83,clothing
57,306,clothing
94,741,fashion
64,564,electronics
78,1821,movies
18,1874,games
64,1367,movies
97,1103,fashion
51,1049,movies
71,1093,games
11,390,movies
72,455,fashion
32,1815,computers
109,2293,games
44,935,fashion
63,83,sports
39,210,computers
27,382,fashion
104,1615,games
97,1609,movies
63,83,clothing
27,856,fashion
90,1972,sports
61,1085,computers
127,1734,sports
18,1874,movies
35,2243,movies
61,1471,games
13,1072,electronics
99,97,computers
94,1206,clothing
110,1657,automotive
13,1623,computers
130,1146,electronics
54,178,computers
85,309,hardware
11,222,movies
22,90,clothing
84,1945,clothing
136,2343,games
110,1719,games
36,127,fashion
99,97,games
84,1945,clothing
2,518,hardware
130,2182,games
8,1241,games
18,374,movies
71,113,games
97,1640,sports
94,239,hardware
123,1634,movies
22,1022,automotive
51,143,clothing
66,1315,automotive
53,1538,movies
44,935,movies
111,1016,fashion
35,2127,automotive
90,1972,clothing
136,2343,clothing
90,1972,clothing
18,1958,hardware
93,417,games
44,1926,games
74,2132,fashion
72,717,automotive
25,643,games
9,1300,games
70,1516,sports
59,2355,games
64,1017,games
54,243,fashion
35,861,games
94,1535,fashion
32,1815,games
137,256,sports
99,1,movies
99,2032,hardware
27,2384,automotive
18,1658,computers
112,1563,hardware
27,1935,electronics
77,1989,hardware
20,1801,games
27,471,fashion
64,1588,fashion
64,846,games
51,143,fashion
114,2128,clothing
9,430,computers
72,1201,fashion
54,2379,hardware
94,1535,hardware
36,2227,clothing
51,1393,fashion
72,455,fashion
99,1804,computers
64,708,games
105,399,fashion
77,343,clothing
63,83,games
72,1856,automotive
111,855,computers
110,1719,games
51,1485,clothing
22,1022,movies
22,415,movies
35,279,movies
39,1880,automotive
127,1051,fashion
54,1042,clothing
63,83,automotive
86,689,clothing
84,1404,fashion
85,864,movies
103,1759,fashion
93,508,hardware
124,168,fashion
94,741,games
69,1162,sports
84,997,hardware
94,1535,games
93,2230,hardware
136,2343,hardware
66,12,fashion
123,1634,clothing
13,1362,sports
35,279,hardware
9,371,movies
94,352,games
13,271,computers
63,585,movies
85,309,fashion
130,397,sports
66,426,sports
64,2009,games
20,355,hardware
36,2227,games
63,590,games
51,1485,computers
94,1206,clothing
61,511,clothing
44,935,electronics
74,2132,games
59,2133,games
35,400,clothing
8,2383,sports
27,221,hardware
35,2243,games
104,2209,sports
59,931,fashion
99,2212,fashion
109,1019,clothing
93,2230,movies
20,1145,movies
25,357,clothing
27,820,fashion
111,388,fashion
22,233,movies
95,436,fashion
77,595,sports
111,2081,automotive
82,365,fashion
25,357,computers
53,1687,games
75,65,fashion
32,1273,electronics
27,221,movies
53,881,sports
121,1915,sports
22,90,games
61,511,movies
54,243,fashion
124,168,computers
35,2229,games
90,1972,clothing
20,1384,games
63,83,movies
51,1318,electronics
74,367,sports
105,399,games
110,1719,clothing
116,498,automotive
53,1687,computers
64,846,games
35,305,sports
13,2208,electronics
85,1387,computers
111,388,electronics
64,1367,sports
2,518,movies
57,2221,fashion
93,2177,movies
133,1097,games
57,2285,clothing
9,1027,games
64,708,games
51,726,sports
111,855,sports
61,409,clothing
74,367,clothing
70,943,electronics
135,923,clothing
13,1362,fashion
27,382,clothing
97,819,clothing
61,1085,movies
111,1016,movies
90,1639,computers
75,1771,sports
142,971,hardware
18,1064,clothing
64,1367,fashion
11,1155,movies
85,309,automotive
121,1837,computers
61,409,computers
130,397,hardware
64,1544,computers
103,1759,clothing
63,585,electronics
2,261,movies
64,2084,games
105,399,hardware
94,896,hardware
74,367,sports
9,430,sports
100,2306,movies
64,1997,computers
20,1801,fashion
74,1270,clothing
51,448,movies
18,970,computers
59,867,movies
127,150,clothing
99,277,fashion
94,1535,fashion
44,1926,sports
53,767,games
35,861,sports
44,935,computers
94,1206,hardware
99,2032,electronics
66,12,hardware
8,1241,computers
64,1567,games
61,1471,sports
25,2216,movies
63,590,clothing
111,855,fashion
54,1042,hardware
27,382,clothing
97,649,sports
57,1320,fashion
124,1537,electronics
111,2081,games
111,1016,hardware
100,2092,games
22,415,computers
25,1807,sports
142,971,electronics
36,2227,sports
53,670,computers
51,2030,sports
35,2243,games
124,1537,hardware
9,371,clothing
8,464,clothing
84,2244,sports
84,997,movies
71,1093,computers
35,807,clothing
39,1880,games
86,1732,fashion
35,400,computers
130,1146,movies
111,191,sports
57,2221,hardware
20,355,games
64,1157,clothing
18,934,electronics
93,956,games
77,1304,games
99,1744,automotive
90,1639,fashion
11,1155,computers
93,508,electronics
82,1546,computers
22,208,fashion
85,84,sports
75,253,games
61,1085,games
105,399,clothing
53,1687,movies
93,508,games
99,1744,hardware
54,165,games
32,1815,hardware
44,827,clothing
27,1329,computers
53,2139,games
53,1059,sports
85,309,games
9,1027,clothing
51,1393,clothing
64,2084,games
9,21,sports
84,2218,hardware
22,1022,fashion
35,807,sports
93,2230,computers
70,943,sports
104,1615,computers
97,412,fashion
53,1059,fashion
18,1064,clothing
28,1465,electronics
130,1146,electronics
113,1911,sports
18,1874,games
54,770,hardware
54,770,movies
51,1318,computers
72,455,games
75,253,electronics
93,956,hardware
104,2209,electronics
27,382,movies
127,1734,sports
20,1384,hardware
27,1329,clothing
74,367,computers
54,178,fashion
35,2127,movies
63,212,computers
71,113,sports
9,1277,movies
27,1065,games
59,931,games
27,1892,clothing
18,1874,hardware
100,1793,games
115,1000,computers
20,1384,fashion
142,971,hardware
25,643,games
84,1404,automotive
13,2208,hardware
84,244,hardware
35,2243,automotive
25,643,sports
86,689,hardware
97,412,clothing
53,1863,movies
121,1915,computers
75,65,computers
51,1318,movies
84,1404,clothing
13,271,automotive
64,708,sports
35,740,games
51,448,clothing
64,1567,fashion
8,1241,computers
51,1049,automotive
104,1615,clothing
39,210,sports
64,1544,electronics
44,935,games
66,12,games
9,1027,computers
72,1856,computers
86,1732,movies
97,1609,computers
51,1485,computers
22,90,computers
84,997,clothing
61,409,movies
63,1690,sports
94,1535,clothing
93,956,clothing
77,1989,computers
93,2230,electronics
128,1090,computers
13,2208,computers
135,923,fashion
27,1892,movies
51,143,games
59,867,movies
78,1821,computers
69,34,hardware
18,1874,fashion
59,801,games
110,1719,games
9,371,games
53,767,fashion
53,1687,movies
64,1544,fashion
11,2222,fashion
64,1567,clothing
36,1001,computers
35,305,computers
72,1370,games
18,1064,games
119,2356,clothing
121,1946,clothing
9,371,computers
109,1019,games
13,1555,games
54,178,computers
64,564,fashion
123,1190,electronics
114,2128,sports
127,1734,sports
22,76,sports
111,1016,clothing
27,382,computers
100,2306,clothing
97,1522,games
116,498,computers
35,740,sports
39,210,sports
53,670,computers
86,1732,movies
130,397,electronics
51,810,hardware
103,2142,movies
64,1017,games
9,1277,sports
75,1771,fashion
25,643,games
51,1318,computers
18,1658,fashion
18,1658,movies
85,1403,games
75,1771,movies
39,1880,fashion
82,365,computers
59,2133,movies
93,508,computers
74,367,hardware
97,649,clothing
39,1880,computers
22,76,movies
53,769,fashion
64,1997,computers
51,143,sports
70,1516,fashion
54,1026,games
36,445,clothing
84,1404,sports
25,643,computers
27,1892,sports
2,518,automotive
64,1567,fashion
36,127,hardware
22,76,clothing
72,1370,electronics
75,1525,clothing
9,1027,clothing
77,1304,hardware
110,1657,automotive
9,1143,games
13,271,games
115,1000,computers
53,1863,clothing
99,97,movies
64,1588,games
39,210,games
66,473,sports
97,9,games
97,9,computers
77,1989,computers
27,856,games
9,21,games
11,1155,hardware
35,2146,fashion
22,1022,automotive
18,1958,hardware
22,1022,computers
54,2379,sports
99,2368,games
64,1544,computers
66,736,computers
27,471,computers
135,1087,automotive
99,2212,clothing
82,1546,clothing
35,400,games
77,751,electronics
44,1926,computers
61,1471,games
9,1091,sports
22,1717,games
84,2218,sports
64,846,movies
54,2379,games
103,2142,games
22,90,games
133,1097,computers
99,2278,games
18,374,sports
66,12,movies
71,113,games
111,1016,computers
77,595,sports
22,208,games
130,397,sports
35,2146,computers
18,1064,hardware
113,1911,fashion
2,261,clothing
110,1657,clothing
94,741,hardware
119,2356,games
111,1016,fashion
77,2248,sports
77,343,movies
20,1806,automotive
61,511,computers
111,1016,clothing
75,1771,electronics
2,1450,sports
129,1527,games
85,2359,clothing
99,1,sports
93,2230,sports
27,1329,games
133,1097,sports
117,973,clothing
35,868,computers
97,649,movies
35,2146,fashion
104,754,hardware
20,1806,computers
97,1522,computers
114,2128,fashion
61,409,movies
18,374,electronics
22,415,movies
70,1516,sports
63,462,computers
90,1972,computers
9,21,sports
71,1093,computers
53,1687,games
93,417,clothing
9,1652,electronics
9,430,sports
35,807,games
130,2182,computers
84,403,computers
8,2383,computers
115,1000,computers
72,1307,clothing
135,923,movies
77,1304,electronics
25,2216,fashion
100,2092,computers
22,90,computers
82,1214,clothing
135,1087,hardware
22,1782,movies
35,740,hardware
90,1972,computers
51,1485,electronics
36,127,games
54,770,computers
103,2142,automotive
119,2356,movies
64,1157,computers
78,1821,automotive
20,1806,hardware
8,2383,computers
35,2243,sports
132,66,hardware
121,1837,computers
20,1806,electronics
51,810,clothing
111,1422,sports
57,2221,hardware
57,2221,automotive
59,931,computers
132,66,electronics
77,751,fashion
72,1856,fashion
44,1926,games
130,2182,computers
39,1880,sports
66,12,fashion
27,1892,computers
94,741,electronics
97,649,clothing
99,277,games
104,1615,computers
94,896,sports
109,2293,games
8,1024,sports
54,1026,games
127,150,sports
103,1759,fashion
123,1190,computers
35,2146,computers
104,754,sports
93,2177,sports
124,1537,computers
93,956,clothing
127,150,clothing
66,1315,automotive
116,498,games
100,1793,hardware
35,2243,games
100,1793,fashion
64,1367,clothing
22,844,electronics
70,943,clothing
9,430,clothing
59,2133,clothing
27,820,clothing
53,1538,electronics
137,256,sports
114,1581,computers
22,415,automotive
105,1760,electronics
53,881,automotive
71,1093,sports
13,271,computers
28,1465,computers
84,403,clothing
61,409,hardware
54,1234,movies
100,1793,games
9,1300,clothing
54,1436,computers
77,343,movies
111,388,clothing
51,726,computers
119,2356,clothing
100,1793,hardware
51,2030,hardware
53,1740,computers
135,923,movies
97,1522,computers
109,2293,games
78,1821,games
9,1652,games
77,595,clothing
20,1801,hardware
78,1769,games
64,68,movies
27,1892,movies
129,1527,games
136,2343,games
35,2243,games
122,1809,sports
99,2032,games
99,2278,games
53,1863,clothing
59,2029,sports
18,1658,movies
51,1049,electronics
53,769,movies
35,868,clothing
36,445,computers
136,2343,games
75,65,movies
27,2073,games
84,403,automotive
104,2209,games
66,426,games
64,1588,games
35,2127,movies
8,464,automotive
72,1264,electronics
9,371,sports
93,2230,games
108,375,clothing
64,1157,clothing
18,1658,sports
94,896,sports
132,66,electronics
9,1652,automotive
131,10,electronics
25,643,electronics
9,1652,games
53,1059,movies
82,2190,electronics
105,1760,movies
54,178,games
112,977,movies
18,1064,hardware
9,371,movies
35,1226,clothing
141,1477,clothing
104,1615,hardware
22,415,clothing
84,1404,computers
75,1771,hardware
78,1821,hardware
86,689,sports
64,926,sports
129,1527,automotive
20,1806,fashion
126,531,fashion
133,1097,hardware
72,1201,computers
18,970,fashion
27,382,automotive
77,751,games
13,1362,movies
59,2133,computers
25,643,clothing
109,2293,clothing
20,1145,sports
117,1249,fashion
53,769,sports
25,643,sports
97,649,fashion
35,2146,electronics
18,1064,automotive
99,277,computers
9,1277,games
85,309,electronics
2,624,computers
128,1111,clothing
86,1732,sports
74,2132,movies
27,221,computers
32,1815,clothing
105,1760,computers
51,1318,fashion
57,2221,sports
77,1457,fashion
44,935,hardware
39,210,hardware
27,471,clothing
51,726,sports
35,2127,electronics
61,1471,games
77,1457,sports
64,1017,movies
25,2216,movies
136,2343,hardware
77,343,games
78,1821,computers
35,740,clothing
59,2355,computers
20,1145,fashion
61,1471,movies
74,367,hardware
110,1657,computers
61,409,clothing
118,38,hardware
100,2092,sports
22,76,clothing
63,83,sports
103,2142,fashion
142,971,electronics
39,1880,computers
75,65,clothing
111,191,computers
77,1989,electronics
9,430,games
94,1206,movies
97,9,computers
9,1652,fashion
39,210,clothing
97,1103,computers
122,1730,electronics
54,1026,fashion
116,498,sports
54,1234,hardware
97,649,games
32,1815,hardware
22,1717,sports
2,518,sports
57,2221,electronics
20,1145,games
111,388,sports
69,34,fashion
146,2259,games
105,399,clothing
133,1097,electronics
99,2368,movies
127,1051,games
94,1535,games
27,1892,clothing
20,1384,computers
54,1234,games
97,1522,sports
99,1744,games
22,76,hardware
127,1734,fashion
9,371,games
122,1730,computers
59,867,clothing
63,83,movies
111,1422,computers
99,1,hardware
146,2259,clothing
86,1732,clothing
59,2029,games
69,34,movies
13,1362,fashion
64,1997,electronics
51,448,computers
85,1387,fashion
44,827,electronics
9,1652,sports
18,374,computers
97,1640,sports
100,1793,movies
115,1000,electronics
64,1567,computers
2,1450,automotive
109,1019,clothing
63,462,fashion
112,1563,automotive
63,590,sports
129,1527,sports
9,1027,clothing
35,861,sports
127,1734,hardware
27,1935,games
97,1756,clothing
70,1516,fashion
53,2139,automotive
70,1516,clothing
53,1059,fashion
8,1889,fashion
59,931,games
57,2221,automotive
146,2259,games
78,1821,movies
66,12,clothing
97,819,hardware
111,1681,clothing
35,2199,movies
100,1793,computers
141,1477,clothing
122,1730,clothing
39,210,electronics
110,1657,electronics
93,2177,movies
54,1234,games
99,1,electronics
35,861,games
84,1945,games
35,1226,games
39,210,sports
64,1017,computers
72,455,computers
8,1241,fashion
104,1615,movies
35,2199,clothing
117,1249,automotive
59,2029,sports
75,253,games
8,464,games
72,1856,clothing
74,2132,games
94,741,games
100,2092,hardware
70,943,clothing
78,1821,sports
129,1527,fashion
57,306,hardware
64,846,sports
104,754,games
93,2177,computers
105,399,games
66,1360,games
63,590,computers
18,374,computers
35,740,movies
9,21,movies
35,2229,fashion
99,2032,computers
104,2209,computers
35,400,fashion
66,12,clothing
135,1087,sports
71,113,electronics
111,1422,fashion
71,1093,fashion
54,165,games
111,1422,sports
54,1163,sports
77,1989,fashion
22,157,electronics
54,1163,fashion
95,436,games
99,2212,sports
27,2384,hardware
57,2221,automotive
93,2230,clothing
66,1360,hardware
127,1051,games
22,1022,computers
77,2248,games
18,121,hardware
63,83,sports
136,2343,clothing
27,611,computers
74,367,sports
8,2383,computers
11,1155,electronics
13,2208,clothing
82,1546,sports
63,585,electronics
103,1759,games
70,1516,games
77,1457,computers
128,1090,movies
64,1567,movies
123,1634,movies
113,1911,movies
127,1051,electronics
70,1516,hardware
64,1567,hardware
8,1241,clothing
77,1989,sports
100,2092,games
54,178,games
18,1205,electronics
77,1304,games
93,956,games
99,277,games
90,1972,movies
127,1051,computers
94,741,clothing
70,943,movies
27,471,clothing
63,1690,computers
8,464,sports
8,2383,fashion
94,352,sports
18,1658,electronics
53,2139,movies
85,84,clothing
20,1384,computers
135,1087,sports
27,1329,sports
18,934,sports
66,1721,games
84,1945,games
85,864,fashion
64,846,clothing
103,2142,fashion
94,352,games
64,1588,computers
51,1318,clothing
72,1370,movies
109,2293,computers
64,1588,sports
77,2248,games
35,2146,hardware
85,2359,movies
132,1936,automotive
135,1087,movies
146,2259,electronics
54,1042,sports
64,564,sports
90,1972,hardware
82,1214,computers
72,1856,sports
64,1567,games
94,333,clothing
63,83,computers
53,2139,computers
2,1337,computers
99,1,hardware
64,1544,computers
86,1732,computers
8,1241,computers
84,2244,games
72,455,games
71,1697,movies
146,2259,games
53,670,computers
85,84,fashion
94,1966,games
64,564,movies
64,1588,computers
35,305,movies
35,400,computers
137,256,movies
53,1059,clothing
99,2212,electronics
27,1065,hardware
39,1880,computers
13,1555,hardware
35,807,movies
66,426,movies
110,1719,clothing
141,1477,movies
110,1719,games
82,1811,games
61,1471,fashion
82,2190,sports
109,2293,computers
22,1782,movies
77,1304,movies
53,881,hardware
94,896,movies
18,374,games
22,76,hardware
35,807,movies
94,333,hardware
18,1874,games
66,736,games
111,1681,computers
27,2073,computers
114,1581,computers
146,2259,games
57,1320,clothing
72,765,movies
72,715,sports
126,531,movies
93,2177,sports
130,2182,clothing
64,1588,games
27,1935,computers
27,2384,fashion
117,1249,clothing
120,1210,games
71,113,computers
54,1436,fashion
131,10,games
111,1681,sports
85,864,fashion
97,819,automotive
13,1555,games
27,1935,fashion
72,455,games
94,1535,fashion
35,279,hardware
53,881,clothing
94,741,computers
77,1304,clothing
25,1807,clothing
77,1457,games
97,412,electronics
35,740,clothing
146,2259,computers
9,1027,clothing
25,2216,clothing
84,2218,electronics
93,1489,fashion
51,143,hardware
74,367,games
142,971,games
84,1945,electronics
13,1072,fashion
64,564,clothing
84,997,electronics
109,1019,games
74,2132,clothing
75,253,games
35,868,fashion
120,1210,computers
86,689,games
39,210,games
130,1146,automotive
63,1690,electronics
66,1721,fashion
100,2306,computers
85,1403,movies
117,1249,electronics
77,1989,games
27,471,sports
63,462,sports
36,1001,games
36,445,electronics
57,2221,fashion
11,222,games
9,1277,clothing
106,1925,games
77,2248,movies
85,1403,sports
78,1769,movies
13,1555,movies
59,801,movies
39,210,electronics
137,256,clothing
35,279,movies
22,1717,clothing
72,1370,games
66,736,games
72,1370,movies
2,518,movies
2,518,fashion
57,306,electronics
112,977,movies
93,2230,games
36,1001,computers
77,1304,games
100,2092,hardware
97,1756,automotive
127,150,fashion
35,2229,computers
35,2229,hardware
8,464,computers
27,2384,computers
133,1097,hardware
20,1384,hardware
2,624,computers
35,305,clothing
35,2146,fashion
61,1645,games
66,1360,electronics
8,1241,computers
44,1926,electronics
112,977,clothing
94,333,clothing
25,2216,computers
71,1093,fashion
61,511,fashion
9,1091,sports
133,1097,sports
84,403,clothing
77,751,games
70,420,hardware
35,861,games
54,243,games
121,1915,clothing
9,1091,clothing
97,1609,computers
36,127,movies
127,150,clothing
75,65,games
61,1645,sports
44,827,games
93,1489,hardware
127,1051,hardware
57,306,sports
25,357,fashion
53,1059,fashion
25,1807,clothing
104,754,hardware
25,1807,computers
57,2221,fashion
84,1945,games
90,1972,games
75,358,clothing
54,178,movies
100,2306,movies
85,864,games
72,1370,hardware
72,1201,movies
64,1997,games
35,2243,electronics
53,1687,sports
35,400,hardware
53,767,sports
64,1588,games
126,531,clothing
70,943,movies
66,1360,games
84,403,movies
63,462,games
90,1972,automotive
54,165,sports
63,212,games
82,1214,movies
9,1652,clothing
51,448,movies
99,277,movies
128,1090,movies
70,420,games
25,2216,fashion
99,2368,clothing
115,1000,hardware
135,1087,movies
74,62,automotive
66,1721,hardware
130,397,electronics
99,1,games
59,439,electronics
132,66,games
22,208,hardware
100,2306,clothing
8,1024,sports
54,1042,movies
100,2306,clothing
